Rank,Rider,Team,Points
1,POGAČAR Tadej,UAE Team Emirates - XRG,4921
2,DEL TORO Isaac,UAE Team Emirates - XRG,2755
3,VINGEGAARD Jonas,Team Visma | Lease a Bike,2399
4,ALMEIDA João,UAE Team Emirates - XRG,2270
5,PEDERSEN Mads,Lidl - Trek,2233
6,EVENEPOEL Remco,Red Bull - BORA - hansgrohe,1924
7,PIDCOCK Thomas,Pinarello Q36.5 Pro Cycling Team,1855
8,VAN DER POEL Mathieu,Alpecin-Premier Tech,1621
9,ONLEY Oscar,INEOS Grenadiers,1620
10,DE LIE Arnaud,Lotto Intermarché,1615
11,MAGNIER Paul,Soudal Quick-Step,1552
12,AYUSO Juan,Lidl - Trek,1414
13,CICCONE Giulio,Lidl - Trek,1405
14,SCARONI Christian,XDS Astana Team,1343
15,MCNULTY Brandon,UAE Team Emirates - XRG,1338
16,VAUQUELIN Kévin,INEOS Grenadiers,1331
17,MERLIER Tim,Soudal Quick-Step,1275
18,VAN AERT Wout,Team Visma | Lease a Bike,1274
19,MILAN Jonathan,Lidl - Trek,1268
20,PHILIPSEN Jasper,Alpecin-Premier Tech,1248
21,VINE Jay,UAE Team Emirates - XRG,1225
22,HEALY Ben,EF Education - EasyPost,1207
23,LIPOWITZ Florian,Red Bull - BORA - hansgrohe,1173
24,KOOIJ Olav,Decathlon CMA CGM Team,1161
25,STORER Michael,Tudor Pro Cycling Team,1142
26,JORGENSON Matteo,Team Visma | Lease a Bike,1127
27,GALL Felix,Decathlon CMA CGM Team,1122
28,GRÉGOIRE Romain,Groupama - FDJ United,1108
29,SKJELMOSE Mattias,Lidl - Trek,1105
30,BRENNAN Matthew,Team Visma | Lease a Bike,1104
31,MARTINEZ Lenny,Bahrain - Victorious,1057
32,ROGLIČ Primož,Red Bull - BORA - hansgrohe,1034
33,NARVÁEZ Jhonatan,UAE Team Emirates - XRG,1001
34,ARENSMAN Thymen,INEOS Grenadiers,985
35,GANNA Filippo,INEOS Grenadiers,956
36,STRONG Corbin,NSN Cycling Team,953
37,JEANNIÈRE Emilien,TotalEnergies,943
38,YATES Simon,,928
39,POWLESS Neilson,EF Education - EasyPost,889
40,ANDRESEN Tobias Lund,Decathlon CMA CGM Team,874
41,GIRMAY Biniam,NSN Cycling Team,867
42,MEEUS Jordi,Red Bull - BORA - hansgrohe,863
43,YATES Adam,UAE Team Emirates - XRG,846
44,WÆRENSKJOLD Søren,Uno-X Mobility,844
45,MATTHEWS Michael,Team Jayco AlUla,841
46,BERNAL Egan,INEOS Grenadiers,841
47,BILBAO Pello,Bahrain - Victorious,818
48,FORTUNATO Lorenzo,XDS Astana Team,811
49,CHRISTEN Jan,UAE Team Emirates - XRG,790
50,CARAPAZ Richard,EF Education - EasyPost,785
51,KUBIŠ Lukáš,Unibet Rose Rockets,782
52,ALAPHILIPPE Julian,Tudor Pro Cycling Team,780
53,BITTNER Pavel,Team Picnic PostNL,766
54,HIRSCHI Marc,Tudor Pro Cycling Team,756
55,ARANBURU Alex,Cofidis,754
56,PRODHOMME Nicolas,Decathlon CMA CGM Team,753
57,VELASCO Simone,XDS Astana Team,752
58,JOHANNESSEN Tobias Halland,Uno-X Mobility,737
59,GEE-WEST Derek,Lidl - Trek,731
60,BUITRAGO Santiago,Bahrain - Victorious,728
61,HINDLEY Jai,Red Bull - BORA - hansgrohe,714
62,PELLIZZARI Giulio,Red Bull - BORA - hansgrohe,714
63,LÓPEZ Harold Martín,XDS Astana Team,709
64,CHAMPOUSSIN Clément,XDS Astana Team,699
65,SCHMID Mauro,Team Jayco AlUla,698
66,GODON Dorian,INEOS Grenadiers,689
67,TULETT Ben,Team Visma | Lease a Bike,686
68,SIVAKOV Pavel,UAE Team Emirates - XRG,677
69,WELLENS Tim,UAE Team Emirates - XRG,675
70,O'CONNOR Ben,Team Jayco AlUla,675
71,VAN WILDER Ilan,Soudal Quick-Step,668
72,WRIGHT Fred,Pinarello Q36.5 Pro Cycling Team,652
73,FRETIN Milan,Cofidis,645
74,MAS Enric,Movistar Team,641
75,KANTER Max,XDS Astana Team,640
76,WATSON Samuel,INEOS Grenadiers,639
77,JEGAT Jordan,TotalEnergies,634
78,TIBERI Antonio,Bahrain - Victorious,630
79,GATE Aaron,XDS Astana Team,629
80,MALUCELLI Matteo,XDS Astana Team,629
81,GROVES Kaden,Alpecin-Premier Tech,614
82,MARTIN Guillaume,Groupama - FDJ United,613
83,PIGANZOLI Davide,Team Visma | Lease a Bike,606
84,UIJTDEBROEKS Cian,Movistar Team,600
85,DEL GROSSO Tibor,Alpecin-Premier Tech,597
86,BENOOT Tiesj,Decathlon CMA CGM Team,593
87,MULUBRHAN Henok,XDS Astana Team,593
88,RICCITELLO Matthew,Decathlon CMA CGM Team,593
89,MORGADO António,UAE Team Emirates - XRG,589
90,ULISSI Diego,XDS Astana Team,588
91,ABRAHAMSEN Jonas,Uno-X Mobility,582
92,DELETTRE Alexandre,TotalEnergies,578
93,LECERF Junior,Soudal Quick-Step,576
94,SHEFFIELD Magnus,INEOS Grenadiers,573
95,TEJADA Harold,XDS Astana Team,567
96,CHRISTEN Fabio,Pinarello Q36.5 Pro Cycling Team,561
97,ROMO Javier,Movistar Team,553
98,SKUJIŅŠ Toms,Lidl - Trek,547
99,SEIXAS Paul,Decathlon CMA CGM Team,544
100,PARET-PEINTRE Aurélien,Decathlon CMA CGM Team,539
101,GROENEWEGEN Dylan,Unibet Rose Rockets,538
102,ASKEY Lewis,NSN Cycling Team,535
103,SILVA Guillermo Thomas,XDS Astana Team,531
104,KUSS Sepp,Team Visma | Lease a Bike,527
105,KULSET Johannes,Uno-X Mobility,527
106,BAGIOLI Andrea,Lidl - Trek,524
107,TEUNISSEN Mike,XDS Astana Team,515
108,MOSCHETTI Matteo,Pinarello Q36.5 Pro Cycling Team,514
109,TRENTIN Matteo,Tudor Pro Cycling Team,512
110,SIMMONS Quinn,Lidl - Trek,512
111,VERMEERSCH Florian,UAE Team Emirates - XRG,510
112,LAPEIRA Paul,Decathlon CMA CGM Team,509
113,DOUBLE Paul,Team Jayco AlUla,505
114,JOHANNESSEN Anders Halland,Uno-X Mobility,505
115,AULAR Orluis,Movistar Team,504
116,PLAPP Luke,Team Jayco AlUla,501
117,ROMEO Iván,Movistar Team,491
118,VAN POPPEL Danny,Red Bull - BORA - hansgrohe,488
119,CANAL Carlos,Movistar Team,485
120,CORT Magnus,Uno-X Mobility,482
