Rank,Rider,Team,Points,nota
1,POGAČAR Tadej,UAE Team Emirates - XRG,4921,10.0
2,DEL TORO Isaac,UAE Team Emirates - XRG,2755,10.0
3,VINGEGAARD Jonas,Team Visma | Lease a Bike,2399,10.0
4,ALMEIDA João,UAE Team Emirates - XRG,2270,10.0
5,PEDERSEN Mads,Lidl - Trek,2233,10.0
6,EVENEPOEL Remco,Red Bull - BORA - hansgrohe,1924,10.0
7,PIDCOCK Thomas,Pinarello Q36.5 Pro Cycling Team,1855,10.0
8,VAN DER POEL Mathieu,Alpecin-Premier Tech,1621,10.0
9,ONLEY Oscar,INEOS Grenadiers,1620,10.0
10,DE LIE Arnaud,Lotto Intermarché,1615,10.0
11,MAGNIER Paul,Soudal Quick-Step,1552,10.0
12,AYUSO Juan,Lidl - Trek,1414,10.0
13,CICCONE Giulio,Lidl - Trek,1405,10.0
14,SCARONI Christian,XDS Astana Team,1343,10.0
15,MCNULTY Brandon,UAE Team Emirates - XRG,1338,10.0
16,VAUQUELIN Kévin,INEOS Grenadiers,1331,10.0
17,MERLIER Tim,Soudal Quick-Step,1275,10.0
18,VAN AERT Wout,Team Visma | Lease a Bike,1274,10.0
19,MILAN Jonathan,Lidl - Trek,1268,10.0
20,PHILIPSEN Jasper,Alpecin-Premier Tech,1248,10.0
21,VINE Jay,UAE Team Emirates - XRG,1225,10.0
22,HEALY Ben,EF Education - EasyPost,1207,10.0
23,LIPOWITZ Florian,Red Bull - BORA - hansgrohe,1173,10.0
24,KOOIJ Olav,Decathlon CMA CGM Team,1161,10.0
25,STORER Michael,Tudor Pro Cycling Team,1142,10.0
26,JORGENSON Matteo,Team Visma | Lease a Bike,1127,10.0
27,GALL Felix,Decathlon CMA CGM Team,1122,10.0
28,GRÉGOIRE Romain,Groupama - FDJ United,1108,10.0
29,SKJELMOSE Mattias,Lidl - Trek,1105,10.0
30,BRENNAN Matthew,Team Visma | Lease a Bike,1104,10.0
31,MARTINEZ Lenny,Bahrain - Victorious,1057,10.0
32,ROGLIČ Primož,Red Bull - BORA - hansgrohe,1034,10.0
33,NARVÁEZ Jhonatan,UAE Team Emirates - XRG,1001,10.0
34,ARENSMAN Thymen,INEOS Grenadiers,985,10.0
35,GANNA Filippo,INEOS Grenadiers,956,10.0
36,STRONG Corbin,NSN Cycling Team,953,10.0
37,JEANNIÈRE Emilien,TotalEnergies,943,10.0
38,YATES Simon,,928,10.0
39,POWLESS Neilson,EF Education - EasyPost,889,10.0
40,ANDRESEN Tobias Lund,Decathlon CMA CGM Team,874,10.0
41,GIRMAY Biniam,NSN Cycling Team,867,10.0
42,MEEUS Jordi,Red Bull - BORA - hansgrohe,863,10.0
43,YATES Adam,UAE Team Emirates - XRG,846,10.0
44,WÆRENSKJOLD Søren,Uno-X Mobility,844,10.0
45,MATTHEWS Michael,Team Jayco AlUla,841,10.0
46,BERNAL Egan,INEOS Grenadiers,841,10.0
47,BILBAO Pello,Bahrain - Victorious,818,10.0
48,FORTUNATO Lorenzo,XDS Astana Team,811,10.0
49,CHRISTEN Jan,UAE Team Emirates - XRG,790,10.0
50,CARAPAZ Richard,EF Education - EasyPost,785,10.0
51,KUBIŠ Lukáš,Unibet Rose Rockets,782,10.0
52,ALAPHILIPPE Julian,Tudor Pro Cycling Team,780,10.0
53,BITTNER Pavel,Team Picnic PostNL,766,10.0
54,HIRSCHI Marc,Tudor Pro Cycling Team,756,10.0
55,ARANBURU Alex,Cofidis,754,10.0
56,PRODHOMME Nicolas,Decathlon CMA CGM Team,753,9.99
