Date,Race,Winner,Class
08.01,National Championships Australia MJ - ITT,GOOLD Max,NC
08.01,National Championships Australia MU - ITT,MARRIAGE Zac,NC
08.01,National Championships Australia WJ - ITT,SANDERS Amelie,NC
09.01,National Championships Australia ME - ITT,PLAPP Luke,NC
09.01,National Championships Australia WE - ITT,CHAPMAN Brodie,NC
09.01,National Championships Australia WU - ITT,ANDERSON Alli,NC
11.01,National Championships Australia MJ - Road Race,HEWES Alex,NC
11.01,National Championships Australia MU - Road Race,BAUDRY Julian,NC
11.01,National Championships Australia WJ - Road Race,DUBIER Anna,NC
12.01,National Championships Australia ME - Road Race,DURBRIDGE Luke,NC
12.01,National Championships Australia WE - Road Race,STEWART Lucinda,NC
12.01,National Championships Lesotho ME - Road Race,MAKATILE Kabelo,NC
12.01,National Championships Lesotho MJ - Road Race,MAKATILE Mahooana,NC
12.01,National Championships Lesotho WE - Road Race,,NC
12.01,National Championships Lesotho WJ - Road Race,MAKATILE Pontso,NC
12.01 - 19.01,Vuelta al Táchira en Bicicleta,BECERRA Eduin,2.2
17.01 - 19.01,Santos Tour Down Under,RÜEGG Noemi,2.WWT
17.01,National Championships Thailand ME - ITT,CHAWCHIANGKWANG Peerapol,NC
17.01,National Championships Thailand MJ - ITT,SAKUNTAE Thanapat,NC
17.01,National Championships Thailand MU - ITT,MUANGDET Tinnapat,NC
17.01,National Championships Thailand WE - ITT,SOMRAT Phetdarin,NC
17.01,National Championships Thailand WJ - ITT,CHANTORN Suphannika,NC
17.01,National Championships Thailand WU - ITT,SEATUN Pittayapron,NC
19.01,National Championships Lesotho ME - ITT,MAKATILE Kabelo,NC
19.01,National Championships Lesotho WE - ITT,LERATA Tsepiso,NC
19.01,National Championships Thailand ME  - Road Race,SIRIRONNACHAI Sarawut,NC
19.01,National Championships Thailand MJ - Road Race,SAKUNTAE Thanapat,NC
19.01,National Championships Thailand MU - Road Race,SAENTA Tanawat,NC
19.01,National Championships Thailand WE - Road Race,SOMRAT Phetdarin,NC
19.01,National Championships Thailand WJ - Road Race,CHALOEMKIJ Pummarat,NC
19.01,Women Cycling Pro Costa De Almería,,1.1
19.01,National Championships Lesotho MJ - ITT,MAKATILE Mahooana,NC
19.01,National Championships Lesotho WJ - ITT,MAKATILE Pontso,NC
21.01 - 26.01,Santos Tour Down Under,NARVÁEZ Jhonatan,2.UWT
22.01 - 26.01,Tour du Sahel,VERHOEFF Stefan,2.2
24.01,Classica Camp de Morvedre,BERRADE Urko,1.2
24.01 - 28.01,Tour of Sharjah,KENCH Josh,2.2
25.01,Gran Premio Castellón - Ruta de la Cerámica,MORGADO António,1.1
25.01,Trofeo Marratxi-Felanitx,HENTTALA Lotta,1.1
26.01,Schwalbe Women's One Day Classic,COPPONI Clara,1.Pro
26.01,Clàssica Comunitat Valenciana 1969 - Gran Premi València,HIRSCHI Marc,1.1
26.01,Trofeo Palma Femina,REUSSER Marlen,1.1
27.01,Trofeo Binissalem-Andratx,DE JONG Thalita,1.1
28.01 - 01.02,AlUla Tour,PIDCOCK Thomas,2.1
29.01,Surf Coast Classic - Women,WOLLASTON Ally,1.1
29.01,Trofeo Calvià,CHRISTEN Jan,1.1
30.01,Surf Coast Classic - Men,ANDRESEN Tobias Lund,1.1
30.01,Trofeo Ses Salines,VAN DEN BERG Marijn,1.1
31.01,National Championships Ecuador ME - ITT,CEPEDA Jefferson Alveiro,NC
31.01,National Championships Ecuador MJ - ITT,HERRERA GARCIA Gabriel Emiro,NC
31.01,National Championships Ecuador MU - ITT,NAVAS Kevin,NC
31.01,National Championships Ecuador WE - ITT,NUÑEZ Miryam Maritza,NC
31.01,National Championships Ecuador WJ - ITT,TORRES Damaris,NC
31.01,National Championships Ecuador WU - ITT,VASQUEZ Natalia,NC
31.01,Trofeo Serra Tramuntana,STORK Florian,1.1
01.02,Cadel Evans Great Ocean Road Race - Women,WOLLASTON Ally,1.WWT
01.02,National Championships Ecuador MJ - Road Race,HERRERA GARCIA Gabriel Emiro,NC
01.02,National Championships Ecuador WJ - Road Race,FUERTES Alison Adriana,NC
01.02,Trofeo Andratx - Pollença,,1.1
01.02,Grand Prix Antalya,HAMDAN Wan Abdul Rahman,1.2
02.02,Cadel Evans Great Ocean Road Race - Men,SCHMID Mauro,1.UWT
02.02,Grand Prix Cycliste de Marseille La Marseillaise,FERRON Valentin,1.1
02.02,National Championships Ecuador ME - Road Race,NARVÁEZ Jhonatan,NC
02.02,National Championships Ecuador WE - Road Race,VASQUEZ Natalia,NC
02.02,Trofeo Palma,LEITÃO Iúri,1.1
04.02 - 09.02,Tour Colombia,,2.1
05.02 - 09.02,Volta a la Comunitat Valenciana,BUITRAGO Santiago,2.Pro
05.02 - 09.02,Etoile de Bessèges - Tour du Gard,VAUQUELIN Kévin,2.1
05.02 - 09.02,Herald Sun Tour,,2.1
06.02 - 09.02,UAE Tour Women,LONGO BORGHINI Elisa,2.WWT
06.02,National Championships Colombia ME - ITT,BERNAL Egan,NC
06.02,National Championships Colombia MU - ITT,FLÓREZ Samuel,NC
06.02,National Championships Colombia WE - ITT,PEÑUELA Diana,NC
06.02,National Championships New Zealand ME - ITT,FISHER-BLACK Finn,NC
06.02,National Championships New Zealand MJ - ITT,SHANNON Harry,NC
06.02,National Championships New Zealand MU - ITT,PRINGLE Nate,NC
06.02,National Championships New Zealand WE - ITT,CADZOW Kim,NC
06.02,National Championships New Zealand WJ - ITT,MCKENZIE Neve,NC
06.02,National Championships New Zealand WU - ITT,WATTS Kirsty,NC
06.02,National Championships South Africa WE - ITT,YOUNG Lucy,NC
06.02,National Championships South Africa WJ - ITT,BOUWER Carli,NC
06.02,National Championships South Africa WU - ITT,KLOPPER Sonica,NC
06.02,National Championships Colombia WU - ITT,GARZÓN Natalia,NC
07.02,Asian Continental Championships - Mixed Relay TTT,,CC
07.02,Asian Continental Championships JR - Mixed Relay TTT,,CC
07.02,Muscat Classic,PLUIMERS Rick,1.1
07.02,National Championships Colombia WE - Road Race,LONDOÑO Juliana,NC
07.02,National Championships Namibia ME - ITT,MILLER Alex,NC
07.02,National Championships Namibia MJ - ITT,SURÉN Roger,NC
07.02,National Championships Namibia MU - ITT,BEULKER Justus,NC
07.02,National Championships Namibia WE - ITT,KRUGEL Anri,NC
07.02,National Championships Namibia WJ - ITT,JANSE VAN VUUREN Delsia,NC
07.02,National Championships Namibia WU - ITT,DU PLESSIS Monique,NC
07.02,National Championships New Zealand MJ - Road Race,ARCHER Ben,NC
07.02,National Championships New Zealand WE - Road Race,CADZOW Kim,NC
07.02,National Championships New Zealand WJ - Road Race,MCKENZIE Neve,NC
07.02,National Championships South Africa ME - ITT,HATHERLY Alan,NC
07.02,National Championships South Africa MJ - ITT,JOHNSON Joshua,NC
07.02,National Championships South Africa MU - ITT,CRAUSE Pedri,NC
07.02,National Championships Uruguay ME - ITT,FAGÚNDEZ Eric Antonio,NC
07.02,National Championships Uruguay MJ - ITT,BAUZIL Nicolas,NC
07.02,National Championships Uruguay MU - ITT,BONILLA Pablo Sandino,NC
07.02,National Championships Uruguay WE - ITT,POSSE Anabel,NC
07.02,National Championships Uruguay WJ - ITT,MORALES Xiomara Belen,NC
07.02,National Championships Uruguay WU - ITT,REVETRIA Florencia Carmela,NC
08.02,Asian Continental Championships WJ - ITT,ISMAILOVA Samira,CC
08.02 - 12.02,Tour of Oman,YATES Adam,2.Pro
08.02,National Championships Colombia MU - Road Race,FLÓREZ Samuel,NC
08.02,National Championships New Zealand ME - Road Race,WRIGHT Paul,NC
08.02,National Championships South Africa WE - Road Race,GROVE S'annara,NC
08.02,National Championships South Africa WJ - Road Race,MACKRIDGE Errin,NC
08.02,National Championships Uruguay WE - Road Race,PRIETO Malvina Maria,NC
08.02,National Championships Uruguay WJ - Road Race,MORALES Xiomara Belen,NC
08.02,Grand Prix Aspendos,LEDESMA Gerard,1.2
08.02,Grand Prix Sakiat Sidi Youcef,MAEKELE Milkias,1.2
09.02,Asian Continental Championships MU - ITT,ALMUTAIWEI Mohammad,CC
09.02,Vuelta CV Feminas,ZANETTI Linda,1.Pro
09.02,National Championships Colombia ME - Road Race,BERNAL Egan,NC
09.02,National Championships Namibia ME - Road Race,MILLER Alex,NC
09.02,National Championships Namibia MJ - Road Race,LOWE Sean,NC
09.02,National Championships Namibia WE - Road Race,KRUGEL Anri,NC
09.02,National Championships Namibia WJ - Road Race,THIEL Rosemarie,NC
09.02,National Championships South Africa ME - Road Race,MATTHEWS Daniyal,NC
09.02,National Championships South Africa MJ - Road Race,HORTER Matthew,NC
09.02,National Championships Uruguay ME - Road Race,SILVA Guillermo Thomas,NC
09.02,National Championships Uruguay MJ - Road Race,SALVAGNO Ivan,NC
09.02,National Championships Uruguay MU - Road Race,PÉREZ Ciro,NC
09.02 - 18.02,Tour d'Algérie,AMARI Hamza,2.2
10.02,Asian Continental Championships MJ - ITT,MIRBAGHERI FIROOZABADI Nabi Seyyed Mohammad,CC
10.02,Asian Continental Championships WE - ITT,KUSKOVA Yanina,CC
10.02,Asian Continental Championships WU - ITT,ZHAO Qing,CC
11.02,Asian Continental Championships ME - ITT,FEDOROV Yevgeniy,CC
12.02 - 16.02,Vuelta Ciclista Internacional Bio Bio,,2.2
13.02,Asian Continental Championships MJ - Road Race,YIP Hon Man,CC
13.02 - 16.02,Setmana Ciclista Volta Femenina de la Comunitat Valenciana,VOLLERING Demi,2.Pro
14.02,Asian Continental Championships MU - Road Race,KAMADA Koki,CC
14.02,Asian Continental Championships WJ - Road Race,BURENKOVA Angelina,CC
14.02 - 16.02,Tour de la Provence,PEDERSEN Mads,2.1
15.02,Asian Continental Championships WE - Road Race,MANEEPHAN Jutatip,CC
15.02,Vuelta a la Región de Murcia ''Costa Cálida'',CHRISTEN Fabio,1.1
16.02,Asian Continental Championships ME - Road Race,LYU Xianjing,CC
16.02,Clasica de Almeria ME,FRETIN Milan,1.Pro
16.02,Figueira Champions Classic,MORGADO António,1.Pro
16.02,Clásica de Jaén Nation's Cup Women,BOOTHMAN Erin,1.Ncup
17.02 - 23.02,UAE Tour,POGAČAR Tadej,2.UWT
17.02,Clásica Jaén,KWIATKOWSKI Michał,1.1
19.02 - 23.02,Volta ao Algarve em Bicicleta,VINGEGAARD Jonas,2.Pro
19.02 - 23.02,Vuelta a Andalucia Ruta Ciclista Del Sol,SIVAKOV Pavel,2.Pro
20.02,National Championships Pakistan MJ - Road Race,KHAN Muhammad,NC
20.02,National Championships Pakistan WE - Road Race,GARIB Rabia,NC
20.02,Grand Prix Sonatrach,LAGAB Azzedine,1.2
20.02,National Championships Pakistan WJ - Road Race,PATRAS Carol,NC
21.02,Classic Var,SCARONI Christian,1.1
21.02,National Championships Pakistan ME - Road Race,JAWAID Ali,NC
21.02,National Championships Pakistan WE - ITT,GARIB Rabia,NC
21.02,National Championships Pakistan WJ - ITT,DURRANI Suhaira,NC
22.02,National Championships Pakistan ME - ITT,JAWAID Ali,NC
22.02,National Championships Pakistan MU - ITT,ULLAH Sana,NC
22.02 - 23.02,Tour des Alpes-Maritimes,SCARONI Christian,2.1
22.02,Grand Prix de la Ville d'Alger,HAMZA Yacine,1.2
22.02,National Championships Pakistan MJ - ITT,KHAN Talha,NC
23.02,Clasica de Almeria WE,WOLLASTON Ally,1.1
23.02 - 02.03,Tour du Rwanda,DOUBEY Fabien,2.1
25.02,National Championships Philippines ME - ITT,LIM Nash,NC
25.02,National Championships Philippines MJ - ITT,VILLASEÑOR Darius,NC
25.02,National Championships Philippines MU - ITT,LAZATIN JR Anselmo,NC
25.02,National Championships Philippines WE - ITT,PRADO Jermyn,NC
25.02,National Championships Philippines WJ - ITT,FRANCISCO Mary Gwennielle,NC
25.02,National Championships Philippines WU - ITT,BONILLA Kim Syrel,NC
26.02,National Championships Philippines MJ - Road Race,ARMENDEZ Mark Arvin,NC
26.02,National Championships Philippines WJ - Road Race,VINOYA Jazmine Kaye,NC
26.02 - 02.03,O Gran Camiño -  The Historical Route,GEE-WEST Derek,2.1
27.02,National Championships Philippines MU - Road Race,CAMINGAO Rush,NC
27.02,National Championships Philippines WE - Road Race,PRADO Jermyn,NC
28.02,National Championships Philippines ME - Road Race,FELIPE Marcelo,NC
01.03,Omloop Nieuwsblad ME,WÆRENSKJOLD Søren,1.UWT
01.03,Omloop Nieuwsblad WE,CLAES Lotte,1.WWT
01.03,Faun-Ardèche Classic,GRÉGOIRE Romain,1.Pro
01.03,Gran Premio San Vicente - Costa Blanca - Junior C.R.I.,URKAREGI Eñaut,1.1
01.03 - 02.03,Visit South Aegean Islands,HANSEN Alexander Arnt,2.2
02.03,Faun Drome Classic,AYUSO Juan,1.Pro
02.03,Kuurne - Brussel - Kuurne,PHILIPSEN Jasper,1.Pro
02.03,Fenix Omloop van het Hageland,GERRITSE Femke,1.1
02.03,Gran Premio San Vicente - Costa Blanca - Junior Ruta,CLAISSE Édouard,1.1
02.03,Kuurne - Brussel - Kuurne Juniors,VERBEECK Tuur,1.1
04.03,Ename Samyn Classic,VAN DER POEL Mathieu,1.1
04.03,Le Samyn des Dames,WIEBES Lorena,1.1
05.03,Trofeo Laigueglia,AYUSO Juan,1.Pro
05.03,UMAG Classic,SCHWARZBACHER Matthias,1.2
05.03,UMAG Classic Ladies,CRESTANELLO Lara,1.2
06.03 - 08.03,Vuelta a Extremadura Femenina,VAN DIJK Ellen,2.1
07.03 - 11.03,BIWASE Tour of Vietnam,FROLOVA Natalia,2.2
08.03,Strade Bianche,POGAČAR Tadej,1.UWT
08.03,Strade Bianche Donne,VOLLERING Demi,1.WWT
08.03,Grand Prix Criquielion,MOSCHETTI Matteo,1.1
08.03,Le Tour des 100 Communes,BRENNAN Matthew,1.2
08.03,Rhodes GP,BUDZIŃSKI Marcin,1.2
08.03,Salverda Bouw Ster van Zwolle,,1.2
09.03 - 16.03,Paris-Nice,JORGENSON Matteo,2.UWT
09.03,Gran Premi Les Franqueses KH7,BLANC Gustave,1.1
09.03,Grote prijs Jean - Pierre Monseré,BRUNEL Alexys,1.1
09.03,Trofeo Oro in Euro - Women's Bike Race,SWINKELS Karlijn,1.1
09.03,Dorpenomloop Rucphen,DE CEUSTER Milan,1.2
09.03,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,BRENNAN Matthew,1.2
09.03,POREČ Classic,MILAN Matteo,1.2
09.03,POREČ Classic Ladies,DE BOER Manon,1.2
10.03 - 16.03,Tirreno-Adriatico,AYUSO Juan,2.UWT
11.03 - 13.03,Trofeo Ponente in Rosa,,2.2
12.03,Ixina GP Oetingen p/b Lotto,DE WILDE Julie,1.Pro
13.03 - 16.03,Istrian Spring Tour,BOICHIS Adrien,2.2
13.03 - 16.03,Tour of Rhodes Powered by Rodos Palace,BASSET Pierre-Henry,2.2
14.03,National Championships Panama ME - ITT,SAMUDIO Carlos,NC
14.03,National Championships Panama MJ - ITT,MARTINEZ Jahaziel,NC
14.03,National Championships Panama MU - ITT,VARGAS Cristopher,NC
14.03,National Championships Panama WE - ITT,DUCREUX Wendy,NC
14.03,National Championships Panama WJ - ITT,ATENCIO Noemy,NC
14.03,National Championships Panama WU - ITT,LÓPEZ Maraya,NC
15.03 - 16.03,Betcity Elfstedenrace,,2.1
15.03,Danilith Nokere Koerse MJ,MICHIELSEN Thor,1.1
15.03,National Championships Panama MJ - Road Race,CABALLERO Boris,NC
15.03,National Championships Panama WE - Road Race,DUCREUX Wendy,NC
15.03,National Championships Panama WJ - Road Race,ATENCIO Noemy,NC
16.03,Trofeo Alfredo Binda - Comune di Cittiglio,BALSAMO Elisa,1.WWT
16.03,Piccolo Trofeo Alfredo Binda - Valli del Verbano,ARENS Megan,1.Ncup
16.03,National Championships Panama ME - Road Race,GONZÁLEZ Roberto Carlos,NC
16.03,National Championships Panama MU - Road Race,CABALLERO Michael,NC
16.03 - 20.03,Tour de Taiwan,GILMORE Brady,2.1
16.03,Popolarissima,SMIRNOV Ivan,1.2
19.03,Danilith Nokere Koerse,EEKHOFF Nils,1.Pro
19.03,Danilith Nokere Koerse WE,LACH Marta,1.Pro
19.03,Milano - Torino,DEL TORO Isaac,1.Pro
20.03,Grand Prix de Denain - Porte du Hainaut,BRENNAN Matthew,1.Pro
21.03,Bredene Koksijde Classic,THEUNS Edward,1.Pro
21.03,Youngster Coast Challenge,SENTJENS Sente,1.2U
22.03,Milano-Sanremo,VAN DER POEL Mathieu,1.UWT
22.03,Milano-Sanremo Donne,WIEBES Lorena,1.WWT
22.03,Classic Loire Atlantique,,1.1
22.03 - 23.03,Guido Reybrouck Classic,COLEMAN Vos,2.1
23.03,Bernaudeau Junior,CLAISSE Édouard,1.1
23.03,Cholet Agglo Tour,KUBIŠ Lukáš,1.1
23.03,GP Slovenian Istria,COPPENS Michiel,1.2
23.03,Grand Prix Apollon Temple,RUDYK Bartosz,1.2
23.03,Midwest Cycling Classic,SOUREN Scarlett,1.2
23.03,Strade Bianche di Romagna,,1.2
23.03,Troféu Internacional da Arrábida,GIAIMI Luca,1.2
24.03 - 30.03,Volta Ciclista a Catalunya,ROGLIČ Primož,2.UWT
24.03 - 29.03,The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand,SALBY Alexander,2.1
25.03 - 29.03,Settimana Internazionale Coppi e Bartali,TULETT Ben,2.1
26.03,Classic Brugge-De Panne ME,MOLANO Juan Sebastián,1.UWT
26.03 - 30.03,Olympia's Tour,L'HOTE Antoine,2.2
26.03 - 30.03,Volta ao Alentejo,HOBBS Noah,2.2
27.03,Classic Brugge-De Panne WE,WIEBES Lorena,1.WWT
27.03,GP Brda-Collio,BUDZIŃSKI Marcin,1.2
27.03,GP Goriska & Vipava Valley,,1.2
28.03,E3 Saxo Classic ME,VAN DER POEL Mathieu,1.UWT
28.03,E3 Saxo Classic MJ,BABOVICH Mikita,1.Ncup
29.03 - 30.03,Tour du Bocage et de l'Ernée 53,CLAISSE Édouard,2.1
30.03,Gent-Wevelgem in Flanders Fields ME,PEDERSEN Mads,1.UWT
30.03,Gent-Wevelgem In Flanders Fields WE,WIEBES Lorena,1.WWT
30.03,G.P. Emilia,,1.1
30.03,La Roue Tourangelle Centre Val de Loire - Groupama P.V.L.,BLIKRA Erlend,1.1
30.03,I feel Slovenia VN Adria Mobil,ERŽEN Žak,1.2
31.03 - 02.04,The Princess Maha Chakri Sirindhorn's Cup Women's Tour of Thailand,MANEEPHAN Jutatip,2.2
01.04,Grand Prix Boquerón,STIASNY Petra,1.1
02.04,Dwars door Vlaanderen - A travers la Flandre ME,POWLESS Neilson,1.UWT
02.04,Dwars door Vlaanderen - A travers la Flandre WE,LONGO BORGHINI Elisa,1.Pro
02.04,Paris - Camembert,LOOCKX Lander,1.1
02.04 - 06.04,Tour El Salvador,HARTMANN Elena,2.1
02.04 - 06.04,ΔΕΗ Tour of Hellas,LÓPEZ Harold Martín,2.1
04.04 - 06.04,Internationale Cottbuser Junioren-Etappenfahrt,BARRY Ashlin,2.1
04.04,La Route Adélie de Vitré,FREDHEIM Stian,1.1
04.04 - 06.04,Jamaica International Cycling Classic,HENAO Sergio,2.2
05.04,Gran Premio Miguel Indurain,NYS Thibau,1.Pro
05.04,Volta NXT Classic ME,SMITH Dion,1.1
05.04,Boucle de l'Artois,BOWER Lewis,1.2
05.04,Volta NXT Classic WE,GERRITSE Femke,1.2
06.04,Ronde van Vlaanderen - Tour des Flandres ME,POGAČAR Tadej,1.UWT
06.04,Ronde van Vlaanderen - Tour des Flandres WE,KOPECKY Lotte,1.WWT
06.04,Grand Prix Syedra Ancient City,DE BOD Stefan,1.2
06.04,Trofeo Piva,TURCONI Filippo,1.2U
07.04 - 12.04,Itzulia Basque Country,ALMEIDA João,2.UWT
07.04 - 11.04,Tour of Hainan,TSARENKO Kyrylo,2.Pro
08.04,Grand Prix El Salvador,TOMASI Laura,1.1
08.04 - 11.04,Région Pays de la Loire Tour,VAUQUELIN Kévin,2.1
09.04,Scheldeprijs ME,MERLIER Tim,1.Pro
09.04,Grand Prix Presidente,MIERMONT Dilyxine,1.1
09.04,National Championships Uzbekistan MU - ITT,TSVETKOV Nikita,NC
09.04,Scheldeprijs WE,BALSAMO Elisa,1.1
09.04 - 13.04,Circuit des Ardennes,GILMORE Brady,2.2
09.04,National Championships Uzbekistan WU - ITT,RIZAEVA Asal,NC
09.04,Région Pays de la Loire Tour - Féminin,DIJKSTRA Anneke,1.2
10.04,Grand Prix Surf City,RYSZ Kaja,1.1
10.04,National Championships Uzbekistan MU - Road Race,TSVETKOV Nikita,NC
10.04,National Championships Uzbekistan WU - Road Race,ELMURODOVA Mohinabonu,NC
10.04 - 13.04,Tour of Mersin,DE BOD Stefan,2.2
11.04,Elite Road Central American Championships ME - ITT,RODAS Manuel,1.2
11.04,Elite Road Central American Championships WE - ITT,SOTO Jasmin Gabriela,1.2
11.04,Road Central American Championships MJ - ITT,CASTRO Sebastián,JR
11.04,Road Central American Championships MU - ITT,SISIMITH Eli Alejandro,JR
11.04,Road Central American Championships WJ - ITT,GÓMEZ Yailin,JR
12.04,Paris-Roubaix Femmes,FERRAND-PRÉVOT Pauline,1.WWT
12.04,Giro della Città Metropolitana di Reggio Calabria,COLNAGHI Luca,1.1
12.04,National Championships Cyprus MU - ITT,IOANNOU Constantinos,NC
12.04,National Championships United Arab Emirates ME - ITT,JASIM AL-ALI Abdulla,NC
12.04,National Championships United Arab Emirates MJ - ITT,AMIRI Yousuf,NC
12.04,National Championships United Arab Emirates MU - ITT,ALMUTAIWEI Mohammad,NC
12.04,National Championships United Arab Emirates WE - ITT,ALSAYEGH Safia,NC
12.04,Trofeu 15 d'Abril,VESHNYAKOV Daniil,1.1
12.04,Elite Road Central American Championships ME - TTT,,1.2
12.04,Elite Road Central American Championships WE - TTT,,1.2
12.04,National Championships Cyprus WU - ITT,KOUKOUMA Eleni,NC
12.04,Road Central American Championships MJ - IRR,CASTRO Sebastián,JR
12.04,Road Central American Championships WJ - IRR,GÓMEZ Yailin,JR
13.04,Paris-Roubaix,VAN DER POEL Mathieu,1.UWT
13.04,Paris-Roubaix Juniors,MOURIS Michiel,1.Ncup
13.04,Elite Road Central American Championships ME - IRR,ARCHIBOLD Franklin,1.2
13.04,Elite Road Central American Championships WE - IRR,SOTO Jasmin Gabriela,1.2
